index,vendor,company_name,company_number,known_address,status,urls_count,scrape_count,error,ext_company_name,ext_company_number,ext_incorporation_date,ext_address,ext_postal_code,ext_city,ext_country,ext_about,ext_services,ext_industry,ext_sic_codes,ext_directors,ext_other_info,ext_confidence,ext_match_reasoning,ext_trading_name,ext_phone,ext_email,ext_website,ext_products,ext_employees,ext_turnover,ext_key_contacts,ext_linkedin,ext_certifications,ext_partners,ext_clients,ext_fax,ext_-_company_status,ext_-_company_type,ext_-_accounts_category,ext_-_financial_year_end,ext_-_latest_annual_accounts,ext_-_next_annual_accounts_due,ext_-_latest_confirmation_statement,ext_-_next_confirmation_statement_due,ext_-_company_size,ext_-_persons_with_significant_control_(psc),ext_vat_number,ext_twitter,ext_facebook,ext_other_social,ext_-_next_accounts_made_up_to,ext_-_next_accounts_due_by,ext_-_last_accounts_made_up_to,ext_-_next_confirmation_statement_date,ext_-_next_confirmation_statement_due_by,ext_-_last_confirmation_statement_dated,ext_-_director_nadine_charles's_nationality,ext_-_director_nadine_charles's_country_of_residence,ext_-_director_nadine_charles's_date_of_birth,ext_-_initial_registered_office_address_(before_change_on_26_october_2020),ext_-_age,ext_-_previous_registered_address,ext_-_cash_in_bank,ext_-_net_worth,ext_-_total_assets,ext_-_total_liabilities,ext_-_debt_ratio,ext_-_previous_company_name,ext_-_previous_registered_office_address,ext_-_person_with_significant_control_(psc),ext_-_size,ext_-_jurisdiction_authority,ext_-_vat_issuing_authority,ext_-_vat_status,ext_-_vat_number_issued,ext_-_previous_company_names,ext_-_end_of_financial_year,ext_-_financials_(as_of_31_dec_2024),ext_-_mutual_companies_(through_shared_directors),ext_-_financials_(as_of_31_dec_2023),ext_awards,ext_-_incorporated_in,ext_-_next_confirmation_statement_due_date_(as_of_2017)
36,East Renfrewshire Licensing Board,EAST RENFREWSHIRE CARERS ,SC232125,"Lodge 2, Sandler Cottage Eastwood Park, Giffnock, Glasgow, G46 7JS",success,10,9,,EAST RENFREWSHIRE CARERS,SC232125,28 May 2002,"Lodge 2, Sandler Cottage Eastwood Park, Giffnock, Glasgow, Scotland, G46 7JS",G46 7JS,"Giffnock, Glasgow",Scotland,"East Renfrewshire Carers is a Company Limited by Guarantee and a registered charity. It supports unpaid carers in East Renfrewshire, providing support to adults and young people within East Renfrewshire with extra caring responsibilities at home. It is classified as a micro company.","Young Carers, Emotional Support, Short Breaks & Funding Opportunities, Income Maximization, Legal Advice, Health & Wellbeing, Help To Have Your Voice Heard, Your Rights, Information & Advice, Useful links, Former Carers, Carer support groups / activities, Carers of people with mental health issues, Education training and carers in employment, Older carers including carers of people with dementia, Parent carers, Young and young adult carer services.","Social care, Charity, Education, Membership organisation","85590 - Other education not elsewhere classified, 94990 - Activities of other membership organisations not elsewhere classified","Jacqueline Chuk Yee Tsang-Barnett, Nicola Cowan, Jacqueline ANN McNeney. (Note: Yvonne Hughes and Moira McFadden resigned in May/June 2025. Mrs Susanne Paterson was appointed in July 2025, likely as an officer/director).","Active company. Registered in Scotland. Best identifier GB-SC-SC033142. Received 17 grants. Opening Hours: Mon – Thu: 08:45 until 16:45, Fri: 08:45 until 15:55. Copyright © 2021 East Renfrewshire Carers Centre. Previous registered address was Barrhead Resource Centre 8 Carlibar Road Barrhead Glasgow East Renfrewshire G78 1AA Scotland (changed 9 Jun 2022).",high,"The extraction is based on the ""Registered Company Name: EAST RENFREWSHIRE CARERS"" and ""Known Address: Lodge 2, Sandler Cottage Eastwood Park, Giffnock, Glasgow, G46 7JS"" provided in the target. All extracted information consistently refers to this entity, confirmed by multiple sources including Companies House, the company's own website, and charity registers. The ""Vendor Name: East Renfrewshire Licensing Board"" appears to be a different entity and was not found in the provided web content.",East Renfrewshire Carers Centre,0141 638 4888,enquiries@eastrenfrewshirecarers.co.uk,www.eastrenfrewshirecarers.co.uk,,13 (as of 31 March 2025),£503.5K (as of 31 March 2025),,"unknown (social media icon present on website, URL not explicitly provided)",Registered Charity no. SC033142,"Co-operative Group (funder), BBC Children in Need (funder), Scottish Council For Voluntary Organisations (funder), Scottish Government (funder), Carers UK (listed by), Carers Trust (listed by).",Unpaid carers in East Renfrewshire.,,,,,,,,,,,,,"unknown (social media icon present on website, URL not explicitly provided)","unknown (social media icon present on website, URL not explicitly provided)","Instagram (icon present on website, URL not explicitly provided), Youtube (icon present on website, URL not explicitly provided)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,GEP 22 Ltd.,GEP 22 LTD,16250910,"Cms Pub Accountancy 27 Chester Road, Chester Road, Castle Bromwich, B36 9DA",success,9,8,,GEP 22 LTD,16250910,13 February 2025,"Cms Pub Accountancy 27 Chester Road, Chester Road, Castle Bromwich, Birmingham, United Kingdom, B36 9DA",B36 9DA,Birmingham,United Kingdom,"GEP 22 LTD is an active private limited company incorporated in the United Kingdom on 13 February 2025. It is classified as a micro-entity, indicating it has fewer than 10 employees and a turnover under £1 million. Its primary business activity is the operation of public houses and bars.",Operation of public houses and bars.,Public houses and bars / Hospitality,56302 - Public houses and bars,"Justin Aaron Poulton (Director, appointed 13 February 2025)","Company status: Active. Company type: Private Limited Company. Registered office address has been the same since incorporation. Awaiting first confirmation statement (due by 26 February 2026). Awaiting first accounts (for period ending 28 February 2026, due by 13 November 2026). Justin Aaron Poulton is also associated with ""Gep13 Ltd"".",high,"All extracted information directly matches the target company's vendor name, registered company name, and known address, which are consistently provided across multiple official and reputable company information sources (Companies House, Endole, Company Compass). The company number (16250910) is also consistent across all sources.",,,,,,Under 10 (Micro company),Under £1M (Micro company),"Justin Aaron Poulton (Director, Person with Significant Control)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Heineken Brouwerijen B.V.,HEINEKEN BROUWERIJEN B.V.,FC020047,"Uk Representative Office, Unit 14 The Coda Centre, SW6 6AW",success,10,8,,HEINEKEN BROUWERIJEN B.V.,FC020047,5 December 1996,"Lesile Kendrick Meredith, Uk Representative Office, Unit 14 The Coda Centre, 189 Munster Road London, SW6 6AW",SW6 6AW,London,United Kingdom (for UK representative office address),"HEINEKEN BROUWERIJEN B.V. is an active overseas company, incorporated in the Netherlands, operating a UK Representative Office. It is part of the larger Heineken N.V. group, a globally-minded brewer. The specific activities of this UK entity are not detailed, but it serves as a UK establishment for the Dutch parent company.",,Brewing (based on parent company's primary business),None known,"HEINEKEN N.V. (Corporate Director, appointed 20 January 1997)",,high,"All extracted information directly pertains to ""HEINEKEN BROUWERIJEN B.V."" (Company Number FC020047) as specified in the target company details. Multiple official and business information sources (Companies House, Companies in the UK, Endole, CompanyCheck) consistently provide the same core details like company name, number, address, incorporation date, and director. The websites listed are directly related to the Heineken group. Clarifications have been added for consolidated figures (employees, turnover) and the nature of the UK establishment.",,,,"Heineken.com, https://www.theheinekencompany.com/","unknown (The parent company, Heineken N.V., produces beer and cider)","37,860 (for period ended 28 Dec 2000, likely consolidated group figure)","£5.14 Billion (for period ended 28 Dec 2000, likely consolidated group figure)",Lesile Kendrick Meredith (UK Representative Office contact),,,,,,Active,Overseas company (UK establishment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NETHERLANDS,
39,Aberdeenshire Council,ALEXANDER C REID AND THE ABERDEENSHIRE COUNCIL,SL003612,Inverbervie,success,5,5,,ALEXANDER C REID AND THE ABERDEENSHIRE COUNCIL,SL003612,1999-10-14,"Sillyflatt, Inverbervie, United Kingdom",,Inverbervie,United Kingdom,"An active Limited Partnership (LP) registered in the United Kingdom. It was founded on October 14, 1999, and has been in business for 26 years. The company is involved in contracts, suppliers, and spending, suggesting a role in public sector procurement or related activities. It has not filed any account data yet.",,Public Sector Contracts / Procurement (inferred),,"unknown (As a Limited Partnership, it would have General Partners and Limited Partners, not ""directors"" in the traditional sense. No specific partners are listed beyond the implied structure in the name.)",,high,"The company name, registration number, and incorporation date are consistently found across multiple reliable sources (BizStats, IntelApp, Companies House). The address is provided by BizStats. The classification as a Limited Partnership is confirmed by Companies House filing history. Information not found is explicitly marked as ""unknown"" after thorough review of all provided content. Officer searches for individuals named Alexander Reid were checked and confirmed not to be associated with this specific company.",,,,,,,,,,,"unknown (The company name itself implies a partnership between ""Alexander C Reid"" and ""The Aberdeenshire Council"".)",,,,Limited Partnership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st January,,,,,,"Fri, 27th Oct 2017"
40,Adnams PLC,ADNAMS PLC,00031114,"East Green,, Southwold,, Suffolk, IP18 6JW",success,10,10,,Adnams plc,00031114,24 March 1890,"East Green, Southwold, Suffolk, IP18 6JW",IP18 6JW,Southwold,United Kingdom,"Adnams PLC is a Public Limited Company, incorporated on 24 March 1890, with a history spanning over 150 years. It is primarily involved in the distilling, rectifying and blending of spirits, manufacture of beer, and the wholesale and retail sale of wine, beer, spirits and other alcoholic beverages. The company also operates pubs and hotels, offers various tours and experiences, and provides cellar and contract services. Adnams employs 556 people and is engaged in community and sustainability initiatives.","Brewery Tours, Distillery Tours, Whisky Experiences, Lighthouse Tours, Make Your Own Gin experiences, Cocktail Discovery Masterclasses, Pubs & Hotels operation (including Partner Pubs and Tenancy Opportunities), Cellar Services, Contract Services, Corporate Gifting, E-vouchers, Leisure & Escapes.","Beverages Manufacturing, Alcoholic Drinks, Food, Drink And Tobacco.","11010 - Distilling, rectifying and blending of spirits; 11050 - Manufacture of beer; 46342 - Wholesale of wine, beer, spirits and other alcoholic beverages; 47250 - Retail sale of beverages in specialised stores.","Mr Andrew David Driscoll (Director, Appointed 01 Sep 2025); Mr Andrew Michael Hilliard Heald (Director, Appointed 30 Jun 2023); Mr Sacha Mark Berendji (Director, Appointed 03 Feb 2023); Mr William Simon Townsend (Director, Appointed 01 Jan 2023); Mrs Jennifer Elizabeth Imogen Hanlon (Director, Appointed 18 Jun 2020)","Company type: Public limited Company / Public limited with Share Capital; Company status: Active; Previous company name: ADNAMS & COMPANY PLC (24 Mar 1890 - 11 Oct 1999); Financials (as of 2023-12-31): Gross-Profit £29M, Cash -£6M, Profit after Tax £-3.1 million, Working Capital £-2.5 million; Adnams Community Trust; Shareholder Loyalty Scheme; Events: Adnams 10k Run; Sustainability Story.",high,"All extracted information directly corresponds to ""ADNAMS PLC"" (company number 00031114) as confirmed by multiple official sources including Companies House, the company's own website (adnams.co.uk), and business information platforms. The registered address and incorporation date are consistent across these sources.",Adnams,+441502******,············@·····.com,https://adnams.co.uk/,"Beer (Lager, Cider, Low Alcohol, Ghost Ship Fleet, Mini Kegs, Southwold Bitter, Wild Wave Cider, Bitburger, seasonal beers), Wine (Red, White, Rosé, Sparkling, Low & No, Adnams Selection, Private Cellar), Spirits (Gin, Vodka, Whisky, Cask Whisky, Mixers, Other Spirits, Copper House Dry Gin, Longshore Vodka, Single Malt Whisky, Spirit of Broadside, Rye Malt Whiskey, Smidgin Dry Gin), Accessories & Clothing (Beer Merchandise, Barware, Food, Clothing, Homeware, Gift Vouchers, Glassware).",556,£66M (as of 2023-12-31),Mr Billy Anthony French (Company Secretary),,,Bitburger; Partner Pubs.,,+44··········,,,,,,,,,,,,,,thecrownsouthwold.co.uk (pub website); theswansouthwold.co.uk (pub website),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Peppered with Awards"" (for Rye Malt Whiskey); implied awards for Copper House Gin.",,
41,Affinity Water Ltd.,AFFINITY WATER LIMITED,02546950,"Tamblin Way, Hatfield, AL10 9EZ",success,10,9,,AFFINITY WATER LIMITED,02546950,17 October 1990,"Tamblin Way, Hatfield, Hertfordshire, AL10 9EZ",AL10 9EZ,Hatfield,UK,"Affinity Water Limited is an active private limited company incorporated in 1990. It is a large water supplier in the UK, providing water collection, treatment, and supply services to over 3.9 million customers. The company also offers comprehensive account management, billing, payment plans, financial support, emergency response, water advice, metering services, and initiatives for water saving. They also cater to homeowners, builders, developers, and business retailers.","Water collection, treatment and supply; Account management (moving home, updating details, bill copies, priority services, feedback); Billing (online bills, understanding bills, paperless billing); Payment services (payment plans, financial support, reduced bills, bill cap scheme, waste water charges help); Emergency response (incident alerts, no water, low pressure, works search, mains renewal, customer support during incidents, Home Emergency Cover); Problem reporting (water leaks, low water pressure); Water advice (drinking water quality, water hardness, plumber finder, wastewater provider, how-to guides, stop tap location, lead pipes); Metering (application, reading, submission, programme); Water saving (tips, devices, footprint, garden saving, home visits, rewards, school programs, water neutrality); Building & Developing support (home projects, connection applications, lead pipe replacement, joint supply separation, disconnections, temporary supplies, mains connections/diversions, self-lay guidance, NAVs); Charges information; Retailer & Business services (charges, accredited entities, payment terms, credit support, meter reading, account management, trade sewerage & drainage, hydrant licence, policies, water quality, water fittings regulations, water efficiency visits).","Water collection, treatment and supply",36000,"Mr Michael Peter Francis Osborne (Director, Investment Manager); Adam Peter Stephens (Director, Chief Financial Officer); Andrew Cox (Director, Managing Director At Allianz Capital Pa); Trevor John Didcock (Director); Ian Paul Tyler (Director, Chartered Accountant). (Note: Endole states ""17 Officers"" but only lists these 5 with detailed roles).","Company status: Active. Company type: Private limited Company. Previous company names: VEOLIA WATER CENTRAL LIMITED (01 Jul 2009 - 01 Oct 2012), VEOLIA WATER CENTRAL PLC (01 Jul 2009 - 01 Jul 2009), THREE VALLEYS WATER PLC (31 Mar 1994 - 01 Jul 2009), LEE VALLEY WATER LIMITED (17 Oct 1990 - 31 Mar 1994). Group Structure/Mutual Companies: Affinity Water Finance (2004) Plc, Affinity Water Holdings Limited, Affinity Water Finance Plc, Affinity Water Capital Funds Limited, Daiwater Investment Limited, Affinity Water Holdco Finance Limited, Affinity Water East Limited, Affinity Water Southeast Limited. Cash in Bank: £128.02M (as of 31 March 2025).",high,"All extracted information directly matches the target company's registered name, vendor name, and known address. Data is consistent across multiple official sources (Companies House, Endole, and the company's official website).",Affinity Water,03458780900,,affinitywater.co.uk,,1460 (as of 31 March 2025),£363.6M (for period ended 31 March 2025),Adam Peter Stephens (Chief Financial Officer),,"Mentions ""Accreditation & certification"" on their website, but no specific certifications are listed in the provided content.",,Over 3.9 million customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Alban House Print Services Ltd.,ALBAN HOUSE PRINT SERVICES LIMITED,02913825,"105 - 107 Farringdon Road, London, EC1R 3BU",success,9,8,,ALBAN HOUSE PRINT SERVICES LIMITED,02913825,29 March 1994,"105 - 107 Farringdon Road, London, EC1R 3BU",EC1R 3BU,London,United Kingdom,"An active, privately held, micro-sized London-based marketing services company that manages production, sourcing, and distribution of printed and digital communications. It was incorporated on 29 March 1994.","Point of Sale Merchandise Printing, Magazine and Journal Printing, Direct Mail Printing, Catalogue and Brochure Printing, Print Management, Online Solutions, Event Printing","Printing Services, Magazine Publishers, Publishers, Greeting Card Publishers, Telecommunication, Media, Other publishing activities",,"Andrew Wayne Edward McAngus (Company Director, Appointed 31 March 1994)","Private limited company. Active status. Micro company size. Headquarters in London. Financials (as of 31 Mar 2025): Cash in Bank £49.17K, Working Capital £25,720.00, Total Assets £274.95K, Total Liabilities -£262.45K, Net Assets £12.5K. Related companies through director Andrew Wayne Edward McAngus include: ALBAN HOUSE LTD, ALBAN HOUSE PRINT & PUBLISHING LIMITED, F H MANAGEMENT 2010 LIMITED, FARRINGDON HOUSE LIMITED, FARRINGDON PROPERTY COMPANY LIMITED, LOYAL AI LIMITED, TRUE AFRICA LIMITED, TRUE BIRCH LIMITED, TRUE CONTENT LTD, WIRELESS LOGIC LIMITED.",high,"Multiple sources consistently confirm the company name, registration number, address, incorporation date, and key personnel. Discrepancies in employee count were resolved by prioritizing official company data sources (GlobalDatabase, Endole financials) over LinkedIn's general statement. Masked contact details were noted as unknown or partially available.",Alban House Print,02070149540,,http://albanhouseprint.com/,,4,Under £1M (as per micro-company classification). Unreported for 31 Mar 2025.,"Andrew Wayne Edward McAngus (Director, Person with Significant Control), Jeff Walsham (Account Director), Mary West (Print Coordinator)",https://uk.linkedin.com/company/alban-house-print-services,,,,+442072******,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Described as ""An award winning London based marketing services company"" (no specific awards named)",,
43,Bellrock Property & Facilities,BELLROCK PROPERTY & FACILITIES MANAGEMENT LIMITED,03075427,"Peat House, 1 Waterloo Way, Leicester, LE1 6LP",success,10,10,,BELLROCK PROPERTY & FACILITIES MANAGEMENT LIMITED,03075427,4 July 1995,"Peat House, 1 Waterloo Way, Leicester, England, LE1 6LP",LE1 6LP,Leicester,England,"Bellrock Property & Facilities Management Limited is an active private limited company specializing in technology-enabled workplace management solutions, property and facilities management services. It provides SaaS-driven computer-aided facility management (CAFM) software for commercial spaces and mobile-enabled property asset management systems. The company also engages in business and domestic software development and the management of real estate on a fee or contract basis.","Property and facilities management, workplace management solutions, CAFM software, property asset management, project management, asset management software solutions, business and domestic software development, management of real estate on a fee or contract basis.","Property & Facilities Management, Software Development, Real Estate Management, Workplace Management.","62012 - Business and domestic software development, 68320 - Management of real estate on a fee or contract basis","Ms Katharine Selina Bairstow, Mr Carlo Alloni, Neil Edward Kay, Paul Bean","Company status: Active. Company type: Private limited Company. Previous company names: SGP PROPERTY & FACILITIES MANAGEMENT LIMITED (05 Jun 2008 - 27 Jan 2014), JOHNSON FACILITIES MANAGEMENT LIMITED (01 Mar 2007 - 05 Jun 2008), JOHNSON WORKPLACE MANAGEMENT LIMITED (12 Nov 2003 - 01 Mar 2007), WORKPLACE MANAGEMENT LIMITED (09 Oct 1995 - 12 Nov 2003), GREENZONE TECHNOLOGY LIMITED (04 Jul 1995 - 09 Oct 1995). Persons with Significant Control (PSC): Bell Rock Workplace Managment Limited, Bell Rock Workplace Management Ltd (both owning 75% or more of shares/voting rights). Licensed Sponsor for UK Skilled Worker visas. Mutual companies/related entities: Bell Rock Workplace Management Limited, Colfox School Services Limited, Barnhill School Services Limited, Cardinal Heenan School Services Limited, Workplace Management (Westminster) Limited, Concerto Support Services Limited, Fasset Limited, Martech Technical Services Limited.",high,"All extracted information directly references ""BELLROCK PROPERTY & FACILITIES MANAGEMENT LIMITED"" and the provided company number (03075427) and address (Peat House, 1 Waterloo Way, Leicester, LE1 6LP) from official sources like GOV.UK Companies House, Tracxn, Endole, and CompanyCheck. The consistency across multiple sources confirms a high confidence match.","Bellrock, Concerto Support, Concerto, Bellrock Group",01162016800,,"bellrockgroup.co.uk, concerto.co.uk, Bellrock.fm, https://www.bellrockgroup.co.uk/contact/","Concerto (mobile-enabled property asset management system with CAFM software capability), Bellrock (SaaS-driven computer-aided facility management software).","774 (as of Dec 31, 2021)","£63M (as of Dec 31, 2018), Turnover is over £54M","Paul Bean (CEO), Neil Edward Kay (CFO)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Brackstone Denuevo Ltd.,BRACKSTONE DENUEVO LIMITED,13574249,"Anvil, Reddicap Heath Road, Sutton Coldfield, B75 7ET",success,10,8,,BRACKSTONE DENUEVO LIMITED,13574249,19 August 2021,"Anvil, Reddicap Heath Road, Sutton Coldfield, England, B75 7ET",B75 7ET,Sutton Coldfield,England,The company operates in the public houses and bars sector.,Public houses and bars operation.,Public houses and bars,56302,"Leon RAY (Active Director), Ian Bancroft HANDS (Resigned Director on 2 February 2024)","Company status: Active. Company type: Private limited Company. Registered office address changed on 26 October 2022 from 130 Willmott Road Sutton Coldfield B75 5NW England to the current address. Leon Ray is a Person with Significant Control (PSC) with 75% or more ownership of shares, 75% or more ownership of voting rights, and the right to appoint or remove directors. Last accounts made up to 31 August 2024 (Micro company accounts). Next accounts due by 31 May 2026. Last confirmation statement dated 18 August 2025. Next confirmation statement due by 1 September 2026. Compulsory strike-off action was initiated on 04 Nov 2025 but discontinued on 05 Nov 2025.",high,"All extracted information directly pertains to ""BRACKSTONE DENUEVO LIMITED"" (Company number 13574249) and its registered address ""Anvil, Reddicap Heath Road, Sutton Coldfield, B75 7ET"" as specified in the target company details. The data is sourced from official Companies House records.",,,,,,,,"Leon RAY (Director, Person with Significant Control)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Butcombe Brewery Ltd.,BUTCOMBE BREWERY LIMITED,04631145,"Cox's Green, Wrington, Bristol, BS40 5PA",success,10,8,,BUTCOMBE BREWERY LIMITED,04631145,08 January 2003,"Cox's Green, Wrington, Bristol, BS40 5PA",BS40 5PA,Bristol,"England, UK","Operates as a brewery, offering beers and ciders. The company also owns and operates pubs across the United Kingdom.","Operating public houses and bars, accommodation (stay), loyalty programs, brewery shop, event planning.","Brewing, Hospitality (Public Houses and Bars)","11050 - Manufacture of beer, 56302 - Public houses and bars","Mr Jayson Peter Perfect, Mr Simon Richard Hope, Mr Jonathan Robert Lawson",Previous company name: BARNCREST NO.163 LIMITED (08 Jan 2003 - 06 Mar 2003). Company status: Active. Company type: Private limited company. Person with Significant Control (PSC): Butcombe Brewing Company Limited (owns 75% or more of shares and voting rights).,high,"The registered company name, company number, and known address provided in the target company details perfectly match the information extracted from multiple authoritative sources, including Companies House (GOV.UK) and Endole. The consistency across these sources confirms a high confidence level.",Butcombe Brewing Co.,01934863963,unknown (available in Endole App),butcombe.com,"Beers, ciders, food, rooms (accommodation).","1,470 (as of 25 Jan 2025)",£82.98M (as of 25 Jan 2025),,,,"M Still Catering Limited, The Royal Oak INN Trading Limited, Butcombe Brewing Company Limited, Cirrus INNS Holdings Limited, Cirrus INNS Limited, Farm Street INNS Limited, The Liberation Group UK Limited, Caledonia TLG Bidco Limited (these are mutual companies with shared directors, or part of a group structure)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,County Pubs & Bars Ltd.,COUNTY PUBS AND BARS LIMITED,13179539,"C/O Innscribe Accountants, 14 Mill Street, Bradford, BD1 4AB",success,9,6,,COUNTY PUBS AND BARS LIMITED,13179539,4 February 2021,"C/O Innscribe Accountants, 14 Mill Street, Bradford, United Kingdom, BD1 4AB",BD1 4AB,Bradford,United Kingdom,Operates public houses and bars.,Public houses and bars,Public houses and bars,56302 - Public houses and bars,"Gabrielle Wimhurst, Paul Wimhurst",Company status: Active. Company type: Private limited Company.,high,All extracted information is directly from the official UK Companies House website for the exact company number (13179539) and registered company name (COUNTY PUBS AND BARS LIMITED) provided in the target. Information from other companies with similar names or different company numbers was explicitly ignored.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,10 International Ltd.,10 INTERNATIONAL LIMITED,05805884,"The Lodge, Guildford Road Effingham, Leatherhead, KT24 5PE",success,10,9,,10 INTERNATIONAL LIMITED,05805884,4 May 2006,"The Lodge, Guildford Road Effingham, Leatherhead, Surrey, KT24 5PE",KT24 5PE,Leatherhead,United Kingdom,"Wholesale of wine, beer, spirits and other alcoholic beverages. Operates the brand Sea Change Wine, which provides ethically sourced, eco-friendly wines and supports ocean conservation efforts.","Wholesale of wine, beer, spirits and other alcoholic beverages.","Wholesale of wine, beer, spirits and other alcoholic beverages",46342,"Simon William Rolfe, Toby Charles Petre Hancock, Ian Richard Hanley, William Gerald Rolfe",Company status: Active. Company type: Private limited Company. Accounts type: Total Exemption Full. Age: 19 years. Net Assets (31 May 2024): £667.71K. Cash in Bank (31 May 2024): £1.5M. Total Assets (31 May 2024): £3.14M. Total Liabilities (31 May 2024): -£2.48M. Debt Ratio (31 May 2024): 79%.,high,"The company name, registered company name, and known address provided in the prompt perfectly match the information found across multiple sources, especially the official Companies House (GOV.UK) data. The company number (05805884) is consistently linked to this specific entity.",,01372454910,unknown (available in Endole App),10international.com,"Wine, beer, spirits, other alcoholic beverages (including Sea Change Wine brand).","10 (stated as ""Under 10 employees"" in overview, and ""10"" in financials)",Under £1M (unreported in financials),Mrs Julie Anne Granger (Secretary),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,ARC FRANCE,"FRANCES AND MICHAEL EDWARDS, ARCHITECTS LIMITED",03956887,"Roysted, Hambledon Road, Busbridge, Godalming, GU8 4AY",success,10,6,,"FRANCES AND MICHAEL EDWARDS, ARCHITECTS LIMITED",03956887,27 March 2000,"Roysted, Hambledon Road, Busbridge, Godalming, Surrey, GU8 4AY",GU8 4AY,Godalming,UK,An architectural practice specializing in architectural activities and services.,Architectural services,Architecture; Architectural activities,71111 - Architectural activities,Frances Edwards,Company status: Dissolved; Dissolved on: 4 November 2025; Company type: Private limited Company; Last accounts made up to: 31 December 2023; Last confirmation statement dated: 22 February 2025; Based in South East of England.,high,"The Companies House entry (source 3) provides an exact match for the registered company name and address, along with the company number and incorporation details. Other sources (1 and 4) corroborate the company name, location, and business activity (architectural services), and identify a key person (Frances Edwards). The ""Vendor Name: ARC FRANCE"" from the prompt was not found in relation to this company and appears to be unrelated.",Frances & Michael Edwards Architects,,,NO WEBSITE,,,,Frances Edwards (Architect),,"Member of Traditional Architecture Group, a Linked Society of the Royal Institute of British Architects (RIBA)",Traditional Architecture Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Broadland District Council,BASILDON DISTRICT COUNCIL,RC000846,,success,10,8,,BASILDON DISTRICT COUNCIL,RC000846,2010-07-21,"The Basildon Centre, St. Martin's Square, Basildon, Essex, SS14 1DL",SS14 1DL,Basildon,United Kingdom,"A local authority (council) responsible for providing a wide range of public services to residents and businesses in the Basildon borough. It operates under a Royal Charter and is governed by local authority legislation. Services include council tax, housing, environmental health, waste and recycling, planning, leisure facilities, business support, and more. It also conducts food hygiene inspections for premises within its jurisdiction.","Animal control, Building Control, Council tax and benefits, Environmental Health, Housing services, Information Access Request, Safeguarding, Street scene services, Parking, Planning, Waste and recycling, Councillors and Committee, Leisure activities (25 in 25 Programme, Laindon Community Centre, George Hurd Centre, Activity Centres for over 50s, Events and activities, Halls for hire, Sports Facilities, Allotments, Countryside, The Place), Business support (Basildon for business, Procurement, Business Events, Business rates, Licensing and regulation, Health and safety at work, Food safety services, The Good Employer Charter Scheme, The Basildon First Charter, Commercial property, Commercial waste and recycling, Business support and growth), Council operations (Fraud & Corruption, How Basildon Borough Council works, Councillors and Council Meetings, Voting, elections and referendums, Plans, performance and policies, Annual Governance Statement, Council finances, Data and information, Public notices, Insurance policies and claims, Inclusion and diversity, Basildon Borough Youth Council), Food Hygiene inspections.",Local Government / Public Administration,None Supplied,BASILDON BOROUGH COUNCIL (listed as a corporate director for two dissolved trusts; individual directors/officers of the council are not named in the provided content),Company Status: Active. Company/Entity type: Royal Charter Company. Jurisdiction Authority: Companies House. Law governed: LOCAL AUTHORITY LEGISLATION. Legal form: LOCAL AUTHORITY. VAT number issued before November 2009. Has a reported £700 million debt.,high,"All extracted information pertains to ""BASILDON DISTRICT COUNCIL"" and its current operational name ""BASILDON BOROUGH COUNCIL"", which matches the ""Registered Company Name"" provided in the prompt. There is no information found for ""Broadland District Council"" in the provided web content, suggesting the ""Vendor Name"" in the prompt might be incorrect or refer to a different entity not present in the sources. The confidence is high that the extracted data accurately describes BASILDON DISTRICT COUNCIL / BASILDON BOROUGH COUNCIL.","BASILDON BOROUGH COUNCIL, Basildon Council","01268 533 333, 01268 208274 (translation services)",,https://www.basildon.gov.uk,,,,"Mr R Larkman (Financial Services, mentioned in VAT address)",,,,Residents and businesses within the Basildon borough.,,,,,,,,,,,,GB251057194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
